"cell_id","elev_mean","slope_mean","aspect_north","aspect_east","lc_frac_tree","lc_frac_shrub","lc_frac_grass","lc_frac_crop","lc_frac_built","lc_frac_bare","lc_frac_wetland","lc_frac_water","ghm","housing_logden"
480,452.843902587891,17.1399269104004,0.421726584434509,0.51882392168045,0.691936552524567,0,0.308063477277756,0,0,0,0,0,0.139996334910393,0.0225958190858364
481,363.485382080078,16.3521404266357,0.369048118591309,0.610940396785736,0.935369849205017,0,0.0579761154949665,0,0.00665404554456472,0,0,0,0.286847740411758,0.932257831096649
482,305.474792480469,14.1251373291016,0.448738425970078,0.104480713605881,0.604225754737854,0,0.394696891307831,0,0.00107737630605698,0,0,0,0.148583188652992,2.27812933921814
483,304.852508544922,14.6699628829956,0.455277860164642,-0.0492759495973587,0.349222272634506,0,0.650777697563171,0,0,0,0,0,0.092325784265995,1.94910085201263
484,319.533020019531,21.2462501525879,0.495465159416199,-0.229674190282822,0.768458962440491,0,0.231541022658348,0,0,0,0,0,0.0676079764962196,1.71548843383789
485,397.478302001953,19.7595996856689,0.457590490579605,-0.179016724228859,1,0,0,0,0,0,0,0,0.0478623397648335,1.57457184791565
486,367.089538574219,22.3435916900635,0.434024453163147,0.394879072904587,1,0,0,0,0,0,0,0,0.0450694710016251,1.57457184791565
487,248.409912109375,23.7058372497559,0.451956242322922,0.563081622123718,1,0,0,0,0,0,0,0,0.112049087882042,1.57457184791565
488,170.576126098633,18.9308547973633,0.514073133468628,0.157265156507492,0.855428695678711,0,0.100872896611691,0,0.0356180593371391,0.00134672038257122,0,0.0067336019128561,0.447118669748306,1.57457184791565
489,145.063140869141,17.0373516082764,-0.0612019971013069,-0.105589054524899,0.439678877592087,0,0.441699951887131,0,0.0901255533099174,0.00958153326064348,0,0.0189140886068344,0.703167259693146,1.85549116134644
490,177.680557250977,18.3517417907715,-0.414780288934708,-0.357963055372238,0.74039214849472,0,0.237778425216675,0,0.00260553066618741,0.0192238837480545,0,0,0.412512451410294,2.22413158416748
491,223.640823364258,20.0505027770996,-0.298844188451767,-0.314605444669724,0.81813508272171,0,0.166242942214012,0,0.0091576986014843,0.00646425783634186,0,0,0.127237737178802,2.14439368247986
492,337.962036132812,27.5301895141602,-0.110470838844776,-0.60775625705719,0.964849054813385,0,0.0297640562057495,0,0,0,0,0.00538688153028488,0.0520412139594555,1.95833897590637
880,476.760040283203,20.5793743133545,-0.0683119371533394,0.405144780874252,0.489855468273163,0.000269344076514244,0.509875178337097,0,0,0,0,0,0.127847716212273,0.411458700895309
881,388.384490966797,19.8265972137451,0.0403500720858574,0.443639606237411,0.746369004249573,0,0.250398874282837,0,0.00323212891817093,0,0,0,0.303000062704086,1.14114618301392
882,344.998779296875,16.419958114624,0.0715740546584129,0.257733732461929,0.804368793964386,0,0.190244302153587,0,0.00538688153028488,0,0,0,0.339179545640945,2.15905547142029
883,324.331207275391,13.053394317627,-0.138594880700111,-0.0193545892834663,0.159217938780785,0,0.800616562366486,0,0.010537632741034,0.00161606445908546,0,0.0280117839574814,0.227679371833801,1.98786604404449
884,351.355682373047,16.0498199462891,-0.208450928330421,-0.331274658441544,0.236158862709999,0,0.758723616600037,0,0,0,0,0.00511753745377064,0.192247837781906,2.03355717658997
885,418.860717773438,14.155707359314,-0.248008489608765,-0.435813426971436,0.76967591047287,0,0.230324074625969,0,0,0,0,0,0.147593468427658,1.57457184791565
886,446.924865722656,14.0526075363159,0.281710714101791,-0.102153845131397,0.889551520347595,0,0.110448494553566,0,0,0,0,0,0.0989491418004036,1.57457184791565
887,402.611877441406,23.6302795410156,0.564265429973602,0.379149556159973,0.999867141246796,0,0.000132856701384299,0,0,0,0,0,0.0453472025692463,1.57457184791565
888,298.767211914062,22.6177825927734,0.578422605991364,0.497333317995071,1,0,0,0,0,0,0,0,0.112292103469372,1.57457184791565
889,193.195648193359,19.7528285980225,0.397580474615097,0.503896474838257,0.871206402778625,0,0.0591748505830765,0,0.0592688396573067,0.010349927470088,0,0,0.491053581237793,1.57831001281738
890,149.246719360352,16.4765567779541,-0.196509525179863,-0.32550585269928,0.902529418468475,0,0.0444144420325756,0,0.0492853261530399,0.00350147299468517,0,0.000269344076514244,0.561813414096832,2.56435894966125
891,205.444686889648,16.7253265380859,-0.414663046598434,-0.434931933879852,0.913770914077759,0,0.0862290635704994,0,0,0,0,0,0.231686964631081,2.22413158416748
892,279.693786621094,16.9869995117188,-0.543927550315857,-0.568145215511322,0.83928245306015,0,0.120585285127163,0,0,0,0,0.0401322655379772,0.11394976079464,2.11292505264282
893,429.003540039062,28.9399433135986,-0.460744649171829,-0.653917193412781,0.913249552249908,0.000538688153028488,0.085403747856617,0,0,0.000808032229542732,0,0,0.047600906342268,2.22413158416748
894,572.401000976562,19.8675022125244,-0.256296694278717,-0.173289701342583,0.632645726203918,0,0.366007566452026,0,0.00107737630605698,0.000269344076514244,0,0,0.171253740787506,2.22413158416748
895,601.681274414062,10.532772064209,-0.628180921077728,-0.0681709423661232,0.413108706474304,0,0.561566650867462,0,0.00146305444650352,0,0,0.0238615944981575,0.231132745742798,2.03519296646118
896,609.676208496094,12.9802579879761,-0.542842626571655,-0.112049721181393,0.858420610427856,0,0.114699698984623,0,0.00823333207517862,0,0,0.0186463352292776,0.139877647161484,1.41390526294708
897,619.097412109375,15.4359788894653,-0.414422452449799,0.0555769726634026,0.766494989395142,0,0.225914940237999,0,0,0.00215475261211395,0,0.0054353135637939,0.0798775404691696,1.21019518375397
898,607.041687011719,17.9207382202148,-0.397692948579788,-0.0768216624855995,0.86201936006546,0,0.137980669736862,0,0,0,0,0,0.0696974545717239,1.16759788990021
899,620.065673828125,20.5328884124756,-0.440319508314133,-0.123852677643299,0.894025862216949,0.00430950522422791,0.0971042364835739,0,0.00353454542346299,0.000808032229542732,0,0.000217846958548762,0.0674773305654526,0.924331665039062
900,662.117431640625,18.3069095611572,-0.380450934171677,-0.451748847961426,0.789098680019379,0,0.205547541379929,0,0.00535380886867642,0,0,0,0.0601595602929592,0.298411458730698
901,754.350341796875,18.8072547912598,-0.238249436020851,-0.412153005599976,0.98004549741745,0,0.0199545230716467,0,0,0,0,0,0.0462014675140381,0.298411458730698
902,773.270385742188,13.9918193817139,-0.608608067035675,0.101664416491985,0.70611846446991,0,0.29388153553009,0,0,0,0,0,0.0872849076986313,0.274538546800613
903,791.709350585938,14.8614768981934,-0.485014200210571,-0.191992118954659,0.754815459251404,0,0.242221727967262,0,0,0,0,0.00296278484165668,0.0802472680807114,0
904,748.250793457031,20.5442657470703,-0.439694166183472,0.533478021621704,0.944736242294312,0.000538688153028488,0.0547250509262085,0,0,0,0,0,0.073959693312645,0
905,658.16015625,13.5905799865723,-0.628578841686249,0.444658815860748,0.778990983963013,0,0.220470309257507,0,0.000538688153028488,0,0,0,0.168634995818138,0
906,648.721130371094,15.4157457351685,-0.667312800884247,-0.207079589366913,0.488197058439255,0,0.511585116386414,0,0.000217846958548762,0,0,0,0.135306462645531,0
