"unit_id","psi_pred","psi_se","psi_src","hotspot","q5_flag","bobc_detected","kde_mean","kde_max","psi_q5"
16918,0.803496956722334,0.0804856532326906,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000784815881615941,0.00000201972102331638,4
16924,0.993291964098947,0.0077678320429605,"modavg[m_full+m_fullgrad]","hot","occ_hot_effort_hot_SUSPECT",1,0.0000000759096110414248,0.0000014497636584565,5
16945,0.983017502173223,0.0137275409957959,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000437741050518525,0.0000035257437502878,5
16950,0.155658502240631,0.070417858454416,"modavg[m_full+m_fullgrad]","cold",NA,0,NA,NA,1
17002,0.923638541193969,0.0443429983711005,"modavg[m_full+m_fullgrad]","ns",NA,1,0.00000221842924474913,0.00000464315644421731,4
17005,0.95788135788135,0.0358619709140139,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000977772458554682,0.000000136612243295531,5
17018,0.852507017412994,0.0675866320219562,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000000000207178562500188,0.000000000391853410830478,4
17025,0.944433977284388,0.0363054499328689,"modavg[m_full+m_fullgrad]","ns",NA,1,0.00000000213390594083762,0.00000000922491683041926,5
17030,0.814819585939709,0.0806188705880213,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000000000205415909976248,0.000000000154245588523949,4
17046,0.179095340027198,0.0694270298677142,"modavg[m_full+m_fullgrad]","cold",NA,0,NA,NA,1
17064,0.977230144413886,0.0194716881824332,"modavg[m_full+m_fullgrad]","ns",NA,1,0.00000308304129248427,0.00000484970632896875,5
17067,0.766906097835446,0.0775154245580207,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000273945261142217,0.000000664664867144893,3
17078,0.398682426748208,0.152374586332244,"modavg[m_full+m_fullgrad]","cold",NA,0,NA,NA,2
17082,0.189928712161693,0.0515696484824953,"modavg[m_full+m_fullgrad]","cold",NA,0,NA,NA,1
17088,0.925644090910857,0.0555077556176481,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000564833612770599,0.000000626516396096122,4
17091,0.207036730004539,0.056724919367042,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000000000000000183044972138398,0.0000000000000000000183044972138398,1
17116,0.995591870513969,0.00630769854680067,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000450893566039667,0.0000115341645141598,5
17128,0.513054853954582,0.106013283917092,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000000000000000178595176651389,0.0000000000000000000837330247916024,3
17167,0.222543659134042,0.0463326559784535,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000672605210638721,0.00000084873130390406,2
17172,0.716708208731908,0.0788347016018058,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000000583315062918643,0.000000000407944261704429,3
17175,0.171343764403643,0.0425316153061642,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000360754739858749,0.000000479769823868992,1
17184,0.751901382901303,0.0660974022156329,"modavg[m_full+m_fullgrad]","ns",NA,1,0.00000282981341115374,0.0000105928265838884,3
17188,0.636226887242454,0.11132765691326,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000104705947023831,0.000000379426126073668,3
17191,0.692853856698259,0.0980587351854051,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,3
17194,0.376595958502898,0.108652120586574,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000598507483573485,0.000000789685714153165,2
17197,0.581491090698038,0.0719521924479586,"modavg[m_full+m_fullgrad]","ns",NA,1,0.00000117993477033451,0.00000156139185492066,3
17200,0.967633353783598,0.0211591416462217,"modavg[m_full+m_fullgrad]","hot","occ_hot_effort_hot_SUSPECT",1,NA,NA,5
17217,0.235198607743811,0.0821448321785818,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,2
17222,0.94771656363297,0.0272706859464787,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000382317928426801,0.000000171723243624911,5
17230,0.692563633716859,0.0919722191238587,"modavg[m_full+m_fullgrad]","cold",NA,0,NA,NA,3
17238,0.348447072361398,0.0792757044575212,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000144603248486419,0.00000132141622088966,2
17244,0.115818952201504,0.0353940301985068,"modavg[m_full+m_fullgrad]","ns",NA,1,0.00000127396037896688,0.00000138881227940146,1
17247,0.437322028713177,0.075336574795171,"modavg[m_full+m_fullgrad]","cold",NA,0,NA,NA,2
17255,0.128309303084795,0.0313975777534521,"modavg[m_full+m_fullgrad]","cold",NA,0,0.0000000356456766326119,0.0000000775864847923913,1
17260,0.449620733571281,0.124472750419848,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,2
17263,0.797600801144386,0.0672931881052819,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000440749978736221,0.000000138544194783208,4
17266,0.916968969122623,0.0322195226056713,"modavg[m_full+m_fullgrad]","ns",NA,1,0.00000000382621045957876,0.0000000861006839159018,4
17271,0.981623636314378,0.015620303298023,"modavg[m_full+m_fullgrad]","ns",NA,1,0.00000000000000000307619391501248,0.000000000000000126420567350211,5
17282,0.115561963293522,0.0309564170437868,"modavg[m_full+m_fullgrad]","cold",NA,0,0.0000000166668918666346,0.0000000365972425697692,1
17303,0.967372197129957,0.0209337697316721,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000467623976874165,0.000000861812509356241,5
17321,0.844461628221008,0.0783130962484341,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000440623153963315,0.000000902500232768944,4
17324,0.137524909011157,0.0577219672674094,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,1
17341,0.73260770261262,0.0902257007024233,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000363783755119584,0.000000495659492116829,3
17342,0.123007281850128,0.0502228825651174,"modavg[m_full+m_fullgrad]","ns",NA,0,NA,NA,1
17344,0.801893617905954,0.0716565409339854,"modavg[m_full+m_fullgrad]","ns",NA,0,0.00000025570139428055,0.000000354265608848436,4
17347,0.0893068499019921,0.0426737212111852,"modavg[m_full+m_fullgrad]","cold",NA,0,NA,NA,1
17366,0.74335522496141,0.0982124440290994,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000195848770090379,0.000000395561301047564,3
17374,0.999663543710238,0.000787652695861797,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000833393755783618,0.00000156889871050225,5
17380,0.929851645599691,0.0353398911269908,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000141953208299128,0.00000069850682393735,4
17396,0.668740087136661,0.0929159823331569,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000000000134530488962378,0.00000000000140250593257119,3
17399,0.996782336793427,0.00564508877306461,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000250170245408299,0.000000329165573020873,5
17410,0.805631986978584,0.0784163908072328,"modavg[m_full+m_fullgrad]","ns",NA,1,0.0000000211514645798161,0.0000000529005035332375,4
17413,0.448539437706692,0.161076555208022,"modavg[m_full+m_fullgrad]","ns",NA,0,0.000000116617719925216,0.000000167422783192706,2
17418,0.702787791377483,0.105484117729303,"modavg[m_full+m_fullgrad]","ns",NA,1,0.00000000000000312852699035384,0.00000000000000312852699035384,3
17427,0.995762100206558,0.00668068085537218,"modavg[m_full+m_fullgrad]","ns",NA,1,0.000000201055797788285,0.000000523917151440401,5
17455,0.975027659444278,0.0270525422328295,"modavg[m_full+m_fullgrad]","ns",NA,0,0.0000002491527766324,0.000000776087006215676,5
