"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"p1",3,3984.44158326782,0,1,0.652006230237548,-1989.2065229062,0.652006230237548
"p3",4,3985.69732234947,1.25573908165461,0.533727675632281,0.347993769762452,-1988.82485165093,1
"p2",3,4344.43927741705,359.997694149231,0.000000000000000000000000000000000000000000000000000000000000000000000000000000672192970579868,0.000000000000000000000000000000000000000000000000000000000000000000000000000000438274004739959,-2169.20536998082,1
"p0",2,4392.1382909121,407.696707644283,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000294974714856798,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000192325351849176,-2194.06201956531,1
