"unit_id","county","hab_area_km2","unit_name","n_occ","effort_years","gistar_z","hotspot","q5_flag","n_total","n_obscured","obscured_frac","kde_mean","kde_max","bobc_detected"
51744,"Sonoma",0.138417836035088,"Bell Tower",3,5,0.0513457922784441,"ns",NA,0,0,NA,0.0000000332625589294366,0.000000053708365754801,1
51745,"Sonoma",0.764523131301398,"Unnamed Site - Sonoma County Regional Parks Dept., County of",0,2,-0.388733908353312,"ns",NA,1,1,1,0.0000000575445113781825,0.000000121327545343775,0
51769,"Sonoma",3.97016579622229,"Hood Mountain Regional Park and Open Space Preserve",0,7,-0.364362988401607,"ns",NA,11,11,1,0.0000000634238830343747,0.000000197508370547439,0
51781,"Santa Clara",0.216145748118844,"Silveira",0,0,-0.267556772111086,"ns",NA,0,0,NA,0.0000000000000000000000947241834448555,0.000000000000000000000152119607694172,NA
51782,"Santa Clara",1.00189972172802,"Coyote Ridge Property",0,0,-0.028060001232367,"ns",NA,0,0,NA,0.0000000571170772900587,0.000000113334678530919,NA
51822,"Santa Clara",1.69137777060696,"RWF Bufferlands",0,5,-0.313917540326221,"ns",NA,0,0,NA,0.0000000000183704301770504,0.000000000225036905776577,0
51823,"Santa Clara",0.567758249715809,"Richmond Ranch",0,1,-0.381060271244823,"ns",NA,0,0,NA,0.0000000474871946209987,0.000000115179418003208,0
51837,"San Mateo",0.140847159521482,"Wavecrest North",0,3,-0.079292842933816,"ns",NA,0,0,NA,0.0000000278704206380098,0.0000000465518752434946,0
51839,"San Mateo",0.184549175900465,"Wavecrest South",0,1,-0.0349898308888087,"ns",NA,0,0,NA,0.0000000236373214335117,0.0000000544137144231627,0
51844,"Santa Clara",0.29831898482032,"Guadalupe River Gardens",0,6,-0.34061455495836,"ns",NA,0,0,NA,0.000000444319113057645,0.000000581147162392881,0
51863,"Napa",0.641842716949318,"Cove Preserve",0,0,-0.388733908353312,"ns",NA,0,0,NA,0.000000660080843317701,0.000000771353541040298,NA
51891,"Contra Costa",3.89157639872897,"Deer Valley",0,1,-0.372694123888328,"ns",NA,0,0,NA,NA,NA,0
51937,"Santa Clara",0.752530629209643,"Bloomfield South",0,1,-0.356140817774844,"ns",NA,0,0,NA,0.000000000000000004712329662887,0.0000000000000000438730409587144,0
51940,"Santa Clara",0.841171912632026,"Calero Ridge East",0,0,0.129386623755751,"ns",NA,0,0,NA,0.000000000762900520534515,0.00000000448031434174823,NA
51941,"Santa Cruz",4.10007927730399,"Pescadero Ranch",1,3,-0.373857626907596,"ns",NA,0,0,NA,0.0000000000139009402946866,0.000000000166760646957975,1
52064,"Santa Clara",0.239627669746675,"Tilton Ranch",0,1,-0.183184463463108,"ns",NA,0,0,NA,0.0000000000000000775892304375637,0.000000000000000247872042385134,0
52069,"Santa Clara",7.89376617501316,"Richmond Ranch",2,8,-0.389413927248868,"ns",NA,1,0,0,0.000000048247287054437,0.000000241345162521611,1
52112,"Contra Costa",0.176998277376986,"Wilder Park",0,2,-0.123102846722635,"ns",NA,0,0,NA,0.00000674942884870688,0.00000875289970281301,0
52177,"Santa Cruz",0.1559016329754,"Valle del Pajaro County Park",0,2,-0.409291245173099,"cold",NA,0,0,NA,0.000000000000179717894212283,0.00000000000157324153704508,0
52189,"Sonoma",2.13301303300725,"Estero Americano Coast Reserve",6,8,0.0336289831456925,"ns",NA,3,0,0,0.000000325643071619197,0.00000121005530218099,1
52204,"Alameda",0.397453042303445,"Chabot Park",0,2,-0.276455417098425,"ns",NA,0,0,NA,0.00000189792876881256,0.00000241677753365366,0
52206,"Alameda",3.52695531357499,"Chabot Watershed",0,10,-0.241737220432177,"ns",NA,0,0,NA,0.000000767612050367461,0.00000162039918905066,0
52207,"Alameda",0.306526003156698,"Chabot Watershed",0,2,-0.283829338825584,"ns",NA,0,0,NA,0.00000159284763867618,0.00000173892669863562,0
52210,"Contra Costa",12.9864317983744,"Upper San Leandro Watershed",8,13,-0.0198188656586824,"ns",NA,7,0,0,0.000000435936385656532,0.00000326798340211099,1
52211,"Contra Costa",6.55085198484722,"Upper San Leandro Watershed",6,9,-0.193163701382858,"ns",NA,2,0,0,0.00000219784783439536,0.0000116992832772667,1
52212,"Contra Costa",0.810020797277397,"Gateway Area",0,5,-0.0965553288168779,"ns",NA,0,0,NA,0.00000438672304881038,0.00000703847081240383,0
52214,"Contra Costa",0.172345476128091,"Duffel Solar Project",0,1,0.598886984083941,"ns",NA,0,0,NA,NA,NA,0
52215,"Contra Costa",3.96590931178403,"Siesta Valley",6,10,0.148377332485623,"ns",NA,5,0,0,0.00000638130768493284,0.00000964469654718414,1
52216,"Contra Costa",8.27263201136589,"San Pablo Watershed",10,12,1.07874273027145,"ns",NA,10,0,0,0.00000000629913543548355,0.0000000547843619358446,1
52219,"Contra Costa",12.4956141243524,"Briones Watershed",8,10,0.123276342993791,"ns",NA,7,1,0.142857142857143,0.0000000000458396758051816,0.00000000856018722572571,1
52220,"Contra Costa",12.5308380379469,"San Pablo Watershed",1,5,0.985437446290548,"ns",NA,0,0,NA,0.000000000335101613124777,0.00000000919151688094644,1
52221,"Contra Costa",3.1463951142551,"Pinole Watershed",0,1,-0.137679883349357,"ns",NA,0,0,NA,0.00000000472032679610379,0.0000000531311137308421,0
52222,"Contra Costa",9.55418453534358,"Pinole Watershed",1,11,-0.267526103964706,"ns",NA,0,0,NA,0.0000000393482864069483,0.000000182453646857539,1
52225,"Santa Cruz",1.51252933228206,"San Vicente Redwoods Laguna Creek",0,1,0.582850066260994,"ns",NA,0,0,NA,0.00000000000000000000145729231041062,0.0000000000000000000164535222657133,0
52231,"Alameda",1.63996209489399,"Upper San Leandro Watershed",0,2,-0.191237191178534,"ns",NA,0,0,NA,0.000000375115661199743,0.000000708139509697503,0
52232,"Alameda",24.7238139652555,"Upper San Leandro Watershed",3,12,-0.216393822561064,"ns",NA,6,3,0.5,0.000000329923039998903,0.0000008495855468027,1
52238,"Santa Clara",0.203838817335566,"Lakeside Ranch",0,0,0.0351724912642371,"ns",NA,0,0,NA,0.000000000000000311923668004879,0.00000000000000323628398080469,NA
52256,"Contra Costa",2.41073239249296,"Hoover Ranch",0,0,-0.409291245173099,"cold",NA,0,0,NA,NA,NA,NA
52258,"Solano",0.182272671096511,"Point Buckler Island",0,0,-0.135945758410281,"cold",NA,0,0,NA,NA,NA,NA
52293,"Napa",1.28014411811777,"Scott Property",0,0,-0.452893046213247,"cold",NA,0,0,NA,0.0000000624622202849423,0.000000181292250545084,NA
52317,"Napa",0.350394230586261,"Wetlands Edge Park",0,6,-0.431623585835455,"cold",NA,0,0,NA,0.000000186438342097972,0.000000287004866095231,0
53022,"Santa Cruz",0.250903372259393,"Mini Ranch",0,0,-0.534105749969905,"cold",NA,0,0,NA,0.000000157546224954785,0.000000254527151355433,NA
53034,"Santa Clara",19.0895503690109,"Sargent Ranch",0,9,-0.373857626907596,"ns",NA,0,0,NA,0.00000000000203390190973984,0.000000000165169447563507,0
53035,"Santa Clara",7.72685432905546,"Mead Ranch",0,4,-0.228170692169933,"ns",NA,0,0,NA,0.000000000000373901484860412,0.0000000000206799820323678,0
53046,"Stanislaus",0.511353595106579,"Mount Stakes",0,0,1.80530989642086,"ns",NA,0,0,NA,NA,NA,NA
53047,"Santa Clara",4.64296061455412,"Mount Stakes",0,0,1.80530989642086,"ns",NA,0,0,NA,NA,NA,NA
53048,"Santa Clara",1.42826641079397,"Northern Coyote Valley Conservation Area",0,3,0.0195316013712691,"ns",NA,1,1,1,0.0000000000136517663493207,0.0000000000896708748920894,0
53049,"Santa Clara",2.59559139466091,"Coyote Valley Conservation Area",6,7,-0.0115773179552982,"ns",NA,6,0,0,0.0000000000954401141450845,0.000000000661345034291827,1
53050,"Santa Clara",0.162014769100977,"Coyote Valley Conservation Area",0,4,0.0330398862395248,"ns",NA,0,0,NA,0.0000000000201983083036872,0.0000000000720327131276122,0
53051,"Santa Clara",0.773945206108734,"Coyote Valley Conservation Area",0,0,-0.0143344110608026,"ns",NA,0,0,NA,0.000000000457579640844585,0.00000000413257250642118,NA
53055,"Alameda",0.731385742068065,"Bernal Open Space",11,7,0.0867794105439474,"ns",NA,11,0,0,0.00000955014547798783,0.0000143085380841512,1
53056,"Alameda",0.426644360996932,"Bernal Community Park",0,3,0.039200596201481,"ns",NA,0,0,NA,0.00000501565273225424,0.0000071279223448073,0
53057,"Alameda",0.219724486459886,"Bonde Ranch Open Space",0,0,-0.196689535580079,"ns",NA,0,0,NA,0.00000267030782197253,0.0000030304242955026,NA
53058,"Alameda",0.739523936668843,"Callippe Preserve Open Space",0,1,0.0513457922784441,"ns",NA,0,0,NA,0.000000747545357171475,0.00000158817147166701,0
