"unit_id","county","hab_area_km2","unit_name","n_occ","effort_years","gistar_z","hotspot","q5_flag","n_total","n_obscured","obscured_frac","kde_mean","kde_max"
25311,"Santa Cruz",1.71968331501009,"Lompico",0,2,0.105105800702453,"ns",NA,1,1,1,0.000000105593166210838,0.000000109037202378204
25312,"Santa Cruz",0.177095243346853,"Fall Creek",0,0,0.0339330914592381,"ns",NA,0,0,NA,0.0000000180573103136794,0.0000000270655942102849
25329,"Marin",3.43769632241943,"Petaluma Marsh Wildlife Area",0,1,-0.272596885683331,"ns",NA,0,0,NA,NA,NA
25330,"Contra Costa",2.98110544695207,"Point Edith Wildlife Area",0,0,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
25346,"Sonoma",1.59225107028987,"Kelly Farm",0,6,-0.187365701928555,"ns",NA,0,0,NA,0.0000000117329701510016,0.000000013703767898221
25347,"Sonoma",3.13437041744257,"Armstrong Redwoods State Natural Reserve",0,9,-0.174094406214199,"ns",NA,0,0,NA,0.0000000661890595665682,0.0000000854589075061085
25801,"Napa",1.97925819517732,"Milliken Reservoir Property",0,2,-0.209863757372676,"cold",NA,0,0,NA,NA,NA
25815,"Marin",0.572768128256061,"San Pablo Bay Wildlife Area",0,2,-0.315090641230347,"ns",NA,0,0,NA,NA,NA
25816,"Napa",0.998869780598529,"California State Lands Commission",0,0,-0.242654995909454,"cold",NA,0,0,NA,0.000000060497399090309,0.000000072237931192376
25818,"Napa",1.41418250955385,"Rector Reservoir Wildlife Area",0,0,-0.209863757372676,"cold",NA,0,0,NA,0.000000110675046016695,0.000000141317840984811
25824,"Santa Cruz",0.16672433659826,"Struve Slough - California Coastal Conservancy",0,0,-0.297991875693768,"cold",NA,0,0,NA,0.000000000542128175684553,0.000000000542128175684553
25864,"Sonoma",0.144001328342745,"Stillwater Cove",0,2,-0.209863757372676,"cold",NA,0,0,NA,0.00000105851188436645,0.00000106009031242138
