"cell_id","elev_mean","slope_mean","aspect_north","aspect_east","lc_frac_tree","lc_frac_shrub","lc_frac_grass","lc_frac_crop","lc_frac_built","lc_frac_bare","lc_frac_wetland","lc_frac_water","ghm"
40,446.183624267578,18.6802272796631,0.275656282901764,0.383418530225754,0.731709361076355,0,0.26780241727829,0,0.000488222693093121,0,0,0,0.148969173431396
41,317.850494384766,17.6540699005127,0.230397000908852,0.338666081428528,0.746687173843384,0,0.243229299783707,0,0.00974685233086348,0.000336680095642805,0,0,0.19316354393959
42,274.734710693359,20.2856636047363,0.315348118543625,-0.0164236351847649,0.716907858848572,0.000336680095642805,0.282755494117737,0,0,0,0,0,0.0826121866703033
43,310.219512939453,22.0735855102539,0.45154532790184,0.0664463490247726,1,0,0,0,0,0,0,0,0.0728535428643227
44,194.37712097168,17.2440414428711,0.249435544013977,0.167299136519432,0.804364502429962,0,0.148098453879356,0.000067336019128561,0.0422848574817181,0.00350147299468517,0,0.00168340047821403,0.354392111301422
45,193.298950195312,15.4417085647583,-0.272673368453979,-0.382043331861496,0.347586989402771,0,0.602674901485443,0,0.0287579856812954,0.0147178741171956,0,0.00626224977895617,0.430467337369919
46,308.430328369141,20.0994987487793,-0.380790293216705,-0.413398534059525,0.70500910282135,0,0.287335336208344,0,0.00282811280339956,0.00341340992599726,0,0.00141405640169978,0.138718247413635
240,462.756439208984,20.4919033050537,-0.161044508218765,0.0805028676986694,0.46100839972496,0.000269344076514244,0.538722276687622,0,0,0,0,0,0.113447986543179
241,392.509826660156,18.6895599365234,0.223897993564606,0.348606288433075,0.769184648990631,0,0.228660628199577,0,0.00215475261211395,0,0,0,0.233507588505745
242,317.837677001953,17.2626361846924,-0.108292259275913,0.022210082039237,0.397415697574615,0,0.586606979370117,0,0.00729095377027988,0.000404016114771366,0,0.00828232988715172,0.256706237792969
243,386.233612060547,17.5434913635254,-0.228437781333923,-0.279739707708359,0.690566778182983,0,0.309433221817017,0,0,0,0,0,0.130502954125404
244,366.250274658203,20.5891780853271,0.229345560073853,0.333271890878677,0.944558382034302,0,0.0554416179656982,0,0,0,0,0,0.0965506359934807
245,193.670532226562,20.1345558166504,0.0640569999814034,0.199991345405579,0.874800980091095,0,0.0743029192090034,0,0.0441645756363869,0.00612549297511578,0,0.000606024172157049,0.431744545698166
246,215.261978149414,17.5768604278564,-0.341640889644623,-0.474918305873871,0.840757668018341,0,0.137660279870033,0,0.0100367991253734,0.0000307976333715487,0,0.0115144588053226,0.249432072043419
247,433.468963623047,22.7310066223145,-0.359060525894165,-0.448892265558243,0.77397483587265,0.0015487284399569,0.22393773496151,0,0.000269344076514244,0.000269344076514244,0,0,0.102509677410126
248,565.882263183594,14.5675792694092,-0.550420105457306,-0.124349012970924,0.560192048549652,0,0.4211605489254,0.00538688153028488,0.002633570227772,0,0,0.0106269828975201,0.182252213358879
249,588.094055175781,15.9228658676147,-0.386612892150879,-0.0284252185374498,0.821789264678955,0,0.174479797482491,0,0.00142942764796317,0.000942704209592193,0,0.00135882839094847,0.0883422493934631
250,622.97314453125,18.6464710235596,-0.31389307975769,-0.322117924690247,0.894981503486633,0.00107737630605698,0.101073913276196,0,0.00261073326691985,0.000202008057385683,0,0.0000544617396371905,0.0602738112211227
251,731.417114257812,15.6712970733643,-0.45946604013443,-0.151846662163734,0.773785471916199,0,0.220760315656662,0,0,0,0,0.00545421754941344,0.0829876363277435
252,731.359008789062,16.8876667022705,-0.405978977680206,0.203566268086433,0.813041746616364,0.00215475261211395,0.183995485305786,0,0,0.000067336019128561,0,0.000740696210414171,0.100653603672981
253,626.5419921875,16.2335205078125,-0.500605285167694,0.165109008550644,0.700159728527069,0,0.299651145935059,0,0.000189133774256334,0,0,0,0.118530258536339
254,642.786682128906,17.4412117004395,-0.495776057243347,-0.135966926813126,0.912878096103668,0,0.0867178961634636,0,0.000404016114771366,0,0,0,0.0655437931418419
255,694.549133300781,17.7715301513672,-0.417162090539932,-0.246690109372139,0.917977154254913,0.000647611625026911,0.0813752561807632,0,0,0,0,0,0.0432118959724903
256,719.888366699219,20.0552349090576,-0.0159140415489674,0.140130415558815,0.931253790855408,0.000067336019128561,0.0660527572035789,0,0.00249143270775676,0.000134672038257122,0,0,0.0695319250226021
257,721.707092285156,23.5816593170166,-0.344007253646851,-0.159498780965805,0.95857971906662,0.000471045321319252,0.0409492589533329,0,0,0,0,0,0.0626424998044968
258,792.332214355469,21.7874603271484,-0.632934093475342,-0.132524654269218,0.820413529872894,0.0274755731225014,0.152110919356346,0,0,0,0,0,0.0570334382355213
259,761.251708984375,24.0594158172607,-0.288919478654861,0.27001217007637,0.909356832504272,0.00390331819653511,0.0867398530244827,0,0,0,0,0,0.0111268134787679
260,714.5263671875,21.8019542694092,-0.536501705646515,-0.251504778862,0.7486692070961,0.00430950522422791,0.246886610984802,0,0,0.000134672038257122,0,0,0.0466387234628201
261,789.81103515625,20.8327198028564,-0.658497750759125,0.00649804854765534,0.871206700801849,0.00553462980315089,0.12325868755579,0,0,0,0,0,0.0344301126897335
262,822.152038574219,21.6082000732422,-0.341699033975601,-0.316966444253922,0.93862646818161,0.00530646927654743,0.0560670755803585,0,0,0,0,0,0.0211501065641642
263,922.1865234375,20.730224609375,-0.0558744519948959,-0.0399494394659996,0.973219513893127,0.000269344076514244,0.0222016293555498,0,0,0.00430950522422791,0,0,0.0306679513305426
299,661.107421875,8.09384536743164,-0.0816018283367157,-0.309308260679245,0.107326745986938,0.00337426643818617,0.873197615146637,0,0.0115613006055355,0.00373202539049089,0,0.000808032229542732,0.100750647485256
300,722.111694335938,12.0416965484619,-0.201381951570511,-0.115591190755367,0.392257928848267,0.00101750588510185,0.60120302438736,0.000942704209592193,0,0.00127938436344266,0,0.00329946493729949,0.0378622449934483
436,393.652618408203,24.9995670318604,-0.1294164955616,0.0417512021958828,0.672516822814941,0,0.327483206987381,0,0,0,0,0,0.0388409644365311
437,370.494384765625,21.2561874389648,0.182222723960876,0.230877369642258,0.573847472667694,0,0.426152527332306,0,0,0,0,0,0.0314152166247368
438,312.907073974609,23.8742523193359,-0.0476478300988674,-0.0331596583127975,0.662581920623779,0.000067336019128561,0.337350755929947,0,0,0,0,0,0.0700257197022438
439,353.855010986328,21.7953262329102,-0.349562346935272,0.0522286854684353,0.586833298206329,0,0.413166671991348,0,0,0,0,0,0.0921822786331177
440,389.898498535156,24.7403373718262,-0.190505683422089,-0.249712437391281,0.80807638168335,0.000134672038257122,0.19178894162178,0,0,0,0,0,0.0369594097137451
441,462.18994140625,19.5578880310059,0.080316923558712,0.160861566662788,0.767597198486328,0.0036361450329423,0.228435397148132,0,0,0.000331271439790726,0,0,0.0603416189551353
442,308.646362304688,21.4276256561279,0.1612309217453,0.488009929656982,0.851994931697845,0,0.141694158315659,0,0.00624358560889959,0.000067336019128561,0,0,0.191272810101509
443,237.504501342773,20.0689697265625,-0.295128613710403,-0.0977158546447754,0.798891842365265,0,0.201108142733574,0,0,0,0,0,0.189328834414482
444,297.302673339844,21.3750133514404,-0.487273842096329,-0.031195817515254,0.779946863651276,0,0.219716429710388,0,0.000336680095642805,0,0,0,0.0701564028859138
445,243.948287963867,22.7652626037598,-0.0552716217935085,0.27519303560257,0.91538280248642,0,0.0708841010928154,0,0.0137330973520875,0,0,0,0.220136925578117
446,158.200042724609,16.5392074584961,-0.132205545902252,-0.0981529951095581,0.731575548648834,0,0.226839780807495,0,0.0385545305907726,0.000336680095642805,0,0.00269344076514244,0.434400200843811
447,266.35888671875,17.5413684844971,-0.419916063547134,-0.486927181482315,0.690833926200867,0,0.308694750070572,0,0.000471352104796097,0,0,0,0.160180434584618
448,399.559661865234,17.4159622192383,-0.565625250339508,-0.272395581007004,0.613991022109985,0,0.384131073951721,0,0.0012719186488539,0,0,0.000606024172157049,0.173446893692017
449,479.871826171875,14.6719808578491,-0.486346334218979,-0.281287133693695,0.815259873867035,0,0.179959297180176,0,0.00478085735812783,0,0,0,0.113254174590111
450,547.477111816406,15.4981966018677,-0.22398079931736,-0.281311273574829,0.793707549571991,0,0.203801020979881,0,0.000740696210414171,0,0,0.00175073649734259,0.0815572291612625
