"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"m_full",11,3840.35234578641,0,1,0.566675339097049,-1909.01770950785,0.566675339097049
"m_fullgrad",12,3841.72645631763,1.37411053121878,0.50305525420092,0.285069006758858,-1908.67572815882,0.851744345855907
"m_terrain",7,3844.32509777132,3.97275198491252,0.137191709423815,0.0777431584590439,-1915.09564327037,0.929487504314951
"m_habitat",9,3844.52033901446,4.16799322805127,0.124431910782775,0.0705124952373227,-1913.15238507609,0.999999999552274
"m_human",5,3882.28215476887,41.9298089824579,0.000000000785339905498418,0.00000000044503275725476,-1936.10532053104,0.999999999997306
"m_land",5,3892.49673804576,52.1443922593462,0.00000000000475323284863126,0.00000000000269353983630535,-1941.21261216948,1
"m0",3,3984.44158326782,144.089237481404,0.0000000000000000000000000000000514540578065259,0.0000000000000000000000000000000291577456554322,-1989.2065229062,1
