"patch_id","area_km2","area_fee","area_easement","patch_class","range_name","linkage_role"
3972,500.350406024842,383.598946839113,116.762784674248,"core","Diablo Range (southern)","primary_east"
220,438.403476565903,429.65055117314,8.8748032649678,"core",NA,NA
1869,335.507512553123,274.211319753078,61.3359498981571,"core",NA,NA
3455,233.998126790999,227.382183895601,6.73918064935685,"core",NA,NA
1727,177.00061191695,172.235549406803,4.78208172621841,"core","Santa Cruz Mountains","primary_west"
3250,169.280156081648,168.488924691606,0.816773617412527,"core",NA,NA
80,148.836164592307,65.5774867917828,83.2711350596442,"core",NA,NA
1899,139.716428165704,136.485902049686,3.24669019682675,"core",NA,NA
1053,136.178587207845,134.883583014766,1.30480095367832,"core",NA,NA
16,126.889137681327,76.6217057816283,50.2693762584321,"core",NA,NA
3884,117.705515906553,112.648979496448,5.08855302266241,"core",NA,NA
3138,105.219442546261,104.679319392435,0.54126939628919,"core",NA,NA
488,85.0505001979623,31.4621436412293,53.5896988673934,"core",NA,NA
2421,72.8398655492478,70.7568718065583,2.08301160692677,"core",NA,NA
849,62.4117598435635,37.3451320085021,25.0670426043838,"core",NA,NA
1429,59.2184040445682,56.5303702696134,2.68865801714848,"core",NA,NA
2618,54.6841939705081,54.3373064521048,0.347109902318558,"core",NA,NA
463,54.5010684168872,17.513630116477,36.9876863957224,"core",NA,NA
3376,51.3794341666633,51.3798229491655,0,"core",NA,NA
3480,43.303371956843,43.2331309311365,0.0703129937249165,"core",NA,NA
4227,43.248022480487,1.06567986089155,42.1990906541434,"core",NA,NA
834,43.211048556903,32.7060588941262,10.5207836573691,"core",NA,NA
49,42.6642659492754,33.5691992550151,9.09913297991645,"core",NA,NA
3863,40.7550057108941,40.7347093250911,0.0207827358599078,"core",NA,NA
3289,36.9421963342436,36.9150203151154,0.0283238664853617,"core",NA,NA
3497,36.6305086005089,36.6305086005092,0,"core",NA,NA
1589,35.8981391652322,32.4145487343664,3.48432845389325,"core",NA,NA
355,35.3270084327377,4.43338425512592,30.8937919485313,"core",NA,NA
752,32.3308621530908,31.8719098681241,0.45895228496609,"core",NA,NA
1735,29.5661621681834,24.6848510318282,4.88138105225658,"core",NA,NA
71,29.3575687826197,26.6832490051883,2.67431989209221,"core",NA,NA
2475,28.3282513448233,28.3282712288967,0.0000018984227248649,"core",NA,NA
4103,27.8195306693326,27.8202037529915,0,"core",NA,NA
230,27.5859847202551,6.28525764892474,21.3023479883061,"core",NA,NA
3121,27.1429778432829,25.4502931635149,1.69273240248849,"core",NA,NA
2747,26.4150067505317,26.380947040665,0.0340729644672167,"core",NA,NA
61,25.7952192091056,25.5891936985196,0.208287451228962,"core",NA,NA
707,24.8142233529978,23.0430345891498,1.77316346327892,"core",NA,NA
1710,24.6441378469085,21.5075891126295,3.16451518913141,"core",NA,NA
2512,24.2084707152306,17.4158620985643,6.79791565673036,"core",NA,NA
1456,23.3985132204455,21.0409723646719,2.35754448795441,"core",NA,NA
2703,22.9876389339109,22.7260177471323,0.262733882371064,"core",NA,NA
4178,21.7212186880559,21.7213717380015,0,"core",NA,NA
1662,20.2208124758835,14.7911819266713,5.43085538615879,"core",NA,NA
90,19.7844281073367,0,19.7844281073376,"core",NA,NA
2556,19.3423027429367,18.0208402386589,1.32150468160304,"core",NA,NA
3020,19.2095777499589,19.2154063911574,0,"core",NA,NA
3642,18.1483800376126,8.62436064031951,9.52401939729316,"core",NA,NA
1131,18.0146426225063,13.852465202539,4.16217784053929,"core",NA,NA
3776,17.7073069248158,17.0414107719976,0.665896153062546,"core",NA,NA
1637,17.2409771479731,17.198874444654,0.0421027033194341,"core",NA,NA
240,17.0906951462171,0,17.0906951462167,"core",NA,NA
3956,16.3296137068861,15.8669468513794,0.462715311593335,"core",NA,NA
745,15.4109882426956,13.871351283551,1.56084007870531,"core",NA,NA
825,15.4008569251692,11.0826195145069,4.31908537373319,"core",NA,NA
3179,15.2431216670221,0,15.2431290496512,"core",NA,NA
3625,15.0790791553494,3.6854771635755,11.3936020436291,"core",NA,NA
4134,14.2423628274506,14.2423628274506,0,"core",NA,NA
4037,13.7401356930796,0,13.7401970518663,"core",NA,NA
3112,13.7199861327364,13.7199861327366,0,"core",NA,NA
4101,13.6594202161565,13.6544158750208,0.00500434113566482,"core",NA,NA
2911,13.4366509286954,13.436650928696,0,"core",NA,NA
2824,13.339454263259,13.3037365972166,0.0357176660420857,"core",NA,NA
2766,13.2965215166817,13.0431385197009,0.253408201610338,"core",NA,NA
2501,13.0332515762318,9.41234506972895,3.62493237284632,"core",NA,NA
4244,12.9447149005096,12.9447149005096,0,"core",NA,NA
2478,12.847553635685,12.8477779571539,0.0000726628533613722,"core",NA,NA
3013,12.7380998198885,12.7380998198885,0,"core",NA,NA
3288,12.7091472199447,12.7098863706914,0,"core",NA,NA
2918,12.4814465122283,12.4814465122283,0,"core",NA,NA
462,12.268644258906,0,12.269841304535,"core",NA,NA
1577,12.0805107378694,12.0620462471419,0.0184645859221574,"core",NA,NA
356,11.519855273532,0,11.5199928094911,"core",NA,NA
4169,11.4830095048247,10.0136003964143,1.46940910841046,"core",NA,NA
617,11.3900082324148,9.79538572892679,1.59462250173108,"core",NA,NA
1609,11.3712947889335,11.3712947889332,0,"core",NA,NA
1608,11.2887464585767,11.2887464585772,0,"core",NA,NA
46,11.2199935076024,2.92801901307574,8.29202219814006,"core",NA,NA
353,11.1027323709137,0,11.1027323709138,"core",NA,NA
2953,11.1023886914656,11.1023886914654,0,"core",NA,NA
662,11.0273893357989,11.0273893336057,0,"core",NA,NA
4021,10.9070259774015,10.9070299949039,0,"core",NA,NA
1120,10.3432919142978,10.3432919142979,0,"core",NA,NA
65,10.2646833179573,10.264683869531,0,"core",NA,NA
76,10.2077312670607,10.2081914594405,0,"core",NA,NA
1602,10.1493973997639,2.96350787365562,7.18948703505597,"core",NA,NA
1109,9.54305094366756,9.54302922502854,0.0000217189163097379,"core",NA,NA
13,9.51558405020319,0,9.51644822929143,"core",NA,NA
804,9.49093465056579,9.49093465271612,0,"core",NA,NA
734,9.33430168694215,7.48870221452642,1.8455996161937,"core",NA,NA
1601,8.62803510126872,0,8.62803585306664,"core",NA,NA
2870,8.50525135643448,8.50488848776868,0.000580372906256437,"core",NA,NA
3744,8.49237273589559,8.26828023928767,0.224092601895538,"core",NA,NA
1907,8.48807157485608,8.48807157485601,0,"core",NA,NA
2823,8.48200265208865,8.48200265208861,0,"core",NA,NA
3973,8.41190891339326,8.26752387032675,0.144385931410275,"core",NA,NA
490,8.33353243159262,0,8.3335324315922,"core",NA,NA
1496,8.30159489248696,8.3015949642341,0,"core",NA,NA
2869,8.19463072252027,8.19466412504082,0,"core",NA,NA
2887,8.17153661289312,8.17153661289314,0,"core",NA,NA
