"unit_id","spans_gradient","elev_mean","elev_sd","slope_mean","slope_sd","aspect_north","aspect_east","lc_frac_tree","lc_frac_shrub","lc_frac_grass","lc_frac_crop","lc_frac_built","lc_frac_bare","lc_frac_wetland","lc_frac_water","ghm_mean","ghm_sd","housing_logden_mean","housing_logden_sd"
7,TRUE,241.39013671875,71.2527923583984,17.1872310638428,7.67423582077026,0.116302117705345,0.0639396235346794,0.553797266038601,0.0039093332775145,0.439644901744747,0.00104308870041645,0.00151059431027845,0.000079207949605689,0,0.0000156079788361724,0.152682468295097,0.131672024726868,0.105641333638851,0.406707613213487
16,TRUE,598.925415039062,231.327285766602,26.5240592956543,8.37899684906006,0.062514640390873,0.00752097181975842,0.973992471478909,0.00711445506872006,0.0183709913385111,0,0.000220981979599705,0.000067481683420305,0,0.000233618450839732,0.0841337516903877,0.0923330709338188,0.293359665131612,0.704836287377902
27,FALSE,134.557678222656,23.7927684783936,10.1479940414429,7.27852201461792,0.287404596805573,0.0310242008417845,0.418783495983965,0.00166861585041306,0.530469925088788,0.00794030990886216,0.040485879800863,0.000651773367109383,0,0,0.574423491954803,0.252152413129807,0.00546955454973761,0.166754402665647
32,TRUE,332.781921386719,175.150146484375,22.3991546630859,8.94624614715576,0.208419039845467,0.201618388295174,0.897203510321719,0.0283213007355552,0.0722692059266466,0,0.00215176032837837,0.0000542226877004522,0,0,0.176083162426949,0.100053362548351,0.005399437330883,0.145626138046177
69,FALSE,11.7625780105591,0.760216653347015,0.731917202472687,0.837171375751495,0.228162243962288,0.535687267780304,0.244868330155193,0,0.266207066215884,0,0.487303062297705,0.00108102755414566,0,0.00054051377707283,0.981548666954041,0.00286790495738387,0.694789151725021,2.08960872934123
75,FALSE,275.6220703125,59.6889114379883,20.5541229248047,8.83224201202393,-0.269768059253693,-0.0135148465633392,0.964302239356948,0,0.0331999089035725,0,0.00236603199618152,0.000131819743297625,0,0,0.265498459339142,0.125317558646202,1.07440353862327,0.218260944538289
79,FALSE,0.889973521232605,1.12000072002411,1.47820198535919,1.27978122234344,-0.0362255312502384,0.141853675246239,0.300083249765096,0,0.273382682442393,0.00389061049040504,0.0533149433174064,0.010427534052533,0.0747648884979094,0.284136091434257,0.952784895896912,0.0535406097769737,1.45700769539367,2.61460087987098
141,FALSE,28.0550422668457,4.43919801712036,7.39972734451294,4.62739706039429,0.134754315018654,0.00421132193878293,0.50125231321921,0,0.300803116464449,0,0.000213175494363312,0,0,0.197731394821977,0.948942363262177,0.0259591285139322,0.0602313721622876,0.671230067239489
166,FALSE,115.682189941406,41.5520629882812,14.3929672241211,5.60820198059082,0.0997237488627434,0.011034581810236,0.216986903453694,0,0.780932376155314,0,0.0020379578570164,0.0000427625339757721,0,0,0.4172702729702,0.195257067680359,0.349724651541872,0.574689585050379
181,FALSE,7.3954815864563,1.44968223571777,3.38546323776245,2.17265844345093,0.053238533437252,0.0849074721336365,0.433096824293396,0,0.4236362358159,0.0796166241726636,0.0636503157180403,0,0,0,0.904666066169739,0.061539500951767,0.452813575613951,1.65752765360706
