"patch_id","area_km2","range_name","linkage_role"
3972,500.350406024842,"Diablo Range (southern)","primary_east"
220,438.403476565903,NA,NA
1869,335.507512553123,NA,NA
3455,233.998126790999,NA,NA
1727,177.00061191695,"Santa Cruz Mountains","primary_west"
3250,169.280156081648,NA,NA
80,148.836164592307,NA,NA
1899,139.716428165704,NA,NA
1053,136.178587207845,NA,NA
16,126.889137681327,NA,NA
3884,117.705515906553,NA,NA
3138,105.219442546261,NA,NA
488,85.0505001979623,NA,NA
2421,72.8398655492478,NA,NA
849,62.4117598435635,NA,NA
1429,59.2184040445682,NA,NA
2618,54.6841939705081,NA,NA
463,54.5010684168872,NA,NA
3376,51.3794341666633,NA,NA
3480,43.303371956843,NA,NA
4227,43.248022480487,NA,NA
834,43.211048556903,NA,NA
49,42.6642659492754,NA,NA
3863,40.7550057108941,NA,NA
3289,36.9421963342436,NA,NA
3497,36.6305086005089,NA,NA
1589,35.8981391652322,NA,NA
355,35.3270084327377,NA,NA
752,32.3308621530908,NA,NA
1735,29.5661621681834,NA,NA
71,29.3575687826197,NA,NA
2475,28.3282513448233,NA,NA
4103,27.8195306693326,NA,NA
230,27.5859847202551,NA,NA
3121,27.1429778432829,NA,NA
2747,26.4150067505317,NA,NA
61,25.7952192091056,NA,NA
707,24.8142233529978,NA,NA
1710,24.6441378469085,NA,NA
2512,24.2084707152306,NA,NA
1456,23.3985132204455,NA,NA
2703,22.9876389339109,NA,NA
4178,21.7212186880559,NA,NA
1662,20.2208124758835,NA,NA
